First Name,Last Name,SIN,Gender,Sector,Age ,Admission,Profession,Status,DOD,Donor?,Chaplin Service,Meal Pref,ROOM,DNR?,Attnd. Phys.
Fee,Wandrack,771-44-7931,Male,Sector 10,82,2018-03-08,Desktop Support Technician,DECEASED,2018-03-09,FALSE,Catholic,NA,B19,FALSE,Sanders
Lilli,Verdey,181-37-8189,Female,Sector 10,85,2018-03-09,Nurse Practicioner,ALIVE,NA,FALSE,Jewish,VEG,A5,FALSE,Pan
Gerald,Batchan,490-29-6212,Male,Sector 10,74,2018-03-09,Speech Pathologist,ALIVE,NA,FALSE,Protestant,VEG,A34,FALSE,Sanders
Jedidiah,Paal,168-37-9585,Male,Sector 10,48,2018-03-09,Account Representative IV,DECEASED,2018-03-10,FALSE,Jewish,VEG,A4,FALSE,White
Filmore,Dannett,558-19-4871,Male,Sector 10,14,2018-03-09,NA,ALIVE,NA,TRUE,Catholic,CHCKN,A15,TRUE,White
Norene,Camilletti,253-56-8165,Female,Sector 10,60,2018-03-09,Account Executive,DECEASED,2018-03-11,FALSE,Catholic,CHCKN,C9,FALSE,Sanders
Basilio,Tertre,186-01-7328,Male,Sector 10,63,2018-03-09,Professor,ALIVE,NA,FALSE,NA,NA,D8,FALSE,Pan
Edik,Kirrens,423-34-1746,Male,Sector 10,50,2018-03-09,Analyst Programmer,DECEASED,2018-03-10,FALSE,Catholic,CHCKN,A23,FALSE,Ouyuki
Vladamir,Corran,689-99-7017,Male,Sector 10,18,2018-03-09,NA,ALIVE,NA,TRUE,Other,VEG,B37,TRUE,Ouyuki
Nils,Titherington,731-72-8036,Male,Sector 10,93,2018-03-09,Librarian,ALIVE,NA,FALSE,Catholic,VEG,D15,FALSE,White
Gwenette,Goadsby,545-41-6136,Female,Sector 10,53,2018-03-10,Research Assistant III,ALIVE,NA,FALSE,Jewish,NA,D8,FALSE,Smith
Maire,Tabb,647-81-3042,Female,Sector 10,55,2018-03-10,Actuary,DECEASED,2018-03-13,FALSE,Protestant,VEG,C39,FALSE,Lee
Dominik,Delahunty,722-93-2637,Male,Sector 10,58,2018-03-10,Administrative Officer,DECEASED,2018-03-10,FALSE,NA,CHCKN,A13,FALSE,Lee
Clerc,Widdowes,310-18-1055,Male,Sector 10,58,2018-03-10,VP Accounting,ALIVE,NA,FALSE,Muslim,CHCKN,C37,FALSE,Smith
Lynett,Hatch,786-05-6361,Female,Sector 10,71,2018-03-10,Physical Therapy Assistant,ALIVE,NA,FALSE,Protestant,CHCKN,A26,FALSE,Pan
Somerset,Shallow,683-29-3020,Male,Sector 10,74,2018-03-10,Human Resources Assistant IV,ALIVE,NA,FALSE,Other,CHCKN,C21,FALSE,Smith
Aliza,Hasney,670-62-1739,Female,Sector 10,60,2018-03-10,Food Chemist,DECEASED,2018-03-10,FALSE,Catholic,NA,B49,FALSE,White
Dirk,Broschke,313-65-0047,Male,Sector 10,9,2018-03-10,NA,DECEASED,2018-03-10,FALSE,NA,NA,D31,TRUE,Sanders
Gayla,Lorman,120-90-2038,Female,Sector 10,90,2018-03-10,Payment Adjustment Coordinator,ALIVE,NA,FALSE,Muslim,VEG,D48,FALSE,Ouyuki
Marlo,Dearlove,211-99-9160,Female,Sector 10,35,2018-03-10,Recruiting Manager,ALIVE,NA,FALSE,NA,CHCKN,D3,FALSE,White
Kelcy,Hailey,600-73-5520,Female,Sector 10,1,2018-03-10,NA,DECEASED,2018-03-11,FALSE,Protestant,VEG,C22,FALSE,Ouyuki
Killy,Beszant,758-20-0837,Male,Sector 10,41,2018-03-11,Account Representative III,ALIVE,NA,FALSE,Catholic,CHCKN,B30,FALSE,White
Charmain,Harnes,761-86-1829,Female,Sector 10,87,2018-03-11,VP Marketing,ALIVE,NA,FALSE,NA,NA,A44,FALSE,Lee
Katinka,Labrom,117-13-9249,Female,Sector 10,36,2018-03-11,Senior Sales Associate,ALIVE,NA,FALSE,Other,CHCKN,D20,FALSE,White
Billy,Worling,507-07-4532,Female,Sector 10,72,2018-03-11,Quality Engineer,DECEASED,2018-03-11,FALSE,Protestant,VEG,C15,FALSE,Lee
Vernice,Arrigucci,278-68-4470,Female,Sector 10,92,2018-03-11,Environmental Specialist,DECEASED,2018-03-12,FALSE,Other,NA,C20,FALSE,Pan
